scope,bin_left_minutes,bin_right_minutes,bin_centre_minutes,events,at_risk,hazard
global,1.923966969088961,2.3264384458580776,2.1156537347707913,173,4171,0.04147686406137617
global,2.3264384458580776,2.8131022669944246,2.5582238498744285,158,3998,0.03951975987993997
global,2.8131022669944246,3.4015704901448007,3.0933744773576435,188,3840,0.04895833333333333
global,3.4015704901448007,4.113139410244865,3.7404723818978427,192,3652,0.05257393209200438
global,4.113139410244865,4.973560259040617,4.5229356297307195,167,3460,0.04826589595375722
global,4.973560259040617,6.01397112597152,5.4690810737407896,186,3293,0.05648344974187671
global,6.01397112597152,7.272023826046054,6.613149122560137,184,3107,0.059221113614419056
global,7.272023826046054,8.79324649534939,7.996542879424628,167,2923,0.057133082449538145
global,8.79324649534939,10.632691225657796,9.669326494443531,150,2756,0.054426705370101594
global,10.632691225657796,12.856926365020357,11.692036954708977,157,2606,0.0602455871066769
global,12.856926365020357,15.546445584413084,14.137874879789921,171,2449,0.06982441812984892
global,15.546445584413084,18.798580893072916,17.095353606121915,130,2278,0.05706760316066725
global,18.798580893072916,22.731025022704394,20.671502428990813,152,2148,0.07076350093109869
global,22.731025022704394,27.486090653428622,24.99573992542344,124,1996,0.06212424849699399
global,27.486090653428622,33.235860620183075,30.224557531104907,142,1872,0.07585470085470085
global,33.235860620183075,40.18841548230301,36.54718286702588,120,1730,0.06936416184971098
global,40.18841548230301,48.595363828111864,44.19242776808985,117,1610,0.07267080745341616
global,48.595363828111864,58.76094783150769,53.43696883952923,91,1493,0.06095110515740121
global,58.76094783150769,71.05305358491286,64.61536020925973,84,1402,0.05991440798858773
global,71.05305358491286,85.91652466561247,78.13214083138418,99,1318,0.07511380880121396
global,85.91652466561247,103.88926074507513,94.4764744965459,56,1219,0.04593929450369155
global,103.88926074507513,125.62168383980286,114.23985236189984,72,1163,0.061908856405846945
global,125.62168383980286,151.9002766750891,138.13749864412856,68,1091,0.06232813932172319
global,151.9002766750891,183.67604500026437,167.03425413407356,65,1023,0.0635386119257087
global,183.67604500026437,222.09893388872166,201.9758742410974,60,958,0.06263048016701461
global,222.09893388872166,268.55944352697577,244.2268742237219,39,898,0.043429844097995544
global,268.55944352697577,324.7389505419927,295.31629120163973,59,859,0.06868451688009314
global,324.7389505419927,392.6705559639804,357.09301904753585,48,800,0.06
global,392.6705559639804,474.8126618741499,431.7927186936573,46,752,0.061170212765957445
global,474.8126618741499,574.1379394300601,522.1187252950485,43,706,0.060906515580736544
global,574.1379394300601,694.240907965436,631.339880228811,53,663,0.07993966817496229
global,694.240907965436,839.4680183844309,763.4088284079197,59,610,0.09672131147540984
global,839.4680183844309,1015.074948486568,923.1050620149895,69,551,0.12522686025408347
global,1015.074948486568,1227.4168026412578,1116.2078873187659,78,482,0.16182572614107885
global,1227.4168026412578,1484.1780990184893,1349.7055741336533,76,404,0.18811881188118812
global,1484.1780990184893,1794.6508674689812,1632.0482569097016,35,328,0.10670731707317073
global,1794.6508674689812,2170.070922241148,1973.4537397844642,35,293,0.11945392491467577
global,2170.070922241148,2624.024479033073,2386.277272489232,29,258,0.1124031007751938
global,2624.024479033073,3172.9398315948874,2885.4586790671706,45,229,0.1965065502183406
global,3172.9398315948874,3836.681881348601,3489.063020710487,31,184,0.16847826086956522
global,3836.681881348601,4639.271035678456,4218.9343589647015,32,153,0.20915032679738563
global,4639.271035678456,5609.752491368855,5101.486278579272,30,121,0.24793388429752067
global,5609.752491368855,6783.247362010815,6168.6577785294085,34,91,0.37362637362637363
global,6783.247362010815,8202.223689016808,7459.069124304043,26,57,0.45614035087719296
global,8202.223689016808,9918.03333333333,9019.4194910274,31,31,1.0
Claude_Code,0.016666666666666666,0.020139916091935876,0.018321169946237913,2,959,0.0020855057351407717
Claude_Code,0.020139916091935876,0.02433697321141306,0.02213920952539973,0,957,0.0
Claude_Code,0.02433697321141306,0.029408675904573012,0.026752909331000285,0,957,0.0
Claude_Code,0.029408675904573012,0.03553729590558222,0.032328080948490844,5,957,0.00522466039707419
Claude_Code,0.03553729590558222,0.04294308946036333,0.03906509026295499,0,952,0.0
Claude_Code,0.04294308946036333,0.0518922131076128,0.047206058401188876,6,952,0.0063025210084033615
Claude_Code,0.0518922131076128,0.06270628906873062,0.05704356331385812,0,946,0.0
Claude_Code,0.06270628906873062,0.07577396401685463,0.06893115472356805,4,946,0.004228329809725159
Claude_Code,0.07577396401685463,0.09156487663516923,0.08329606033517459,2,942,0.0021231422505307855
Claude_Code,0.09156487663516923,0.11064653594404608,0.10065453995635466,6,940,0.006382978723404255
Claude_Code,0.11064653594404608,0.1337047169865873,0.1216304393396034,6,934,0.006423982869379015
Claude_Code,0.1337047169865873,0.1615681068723541,0.14697761055149453,2,928,0.0021551724137931034
Claude_Code,0.1615681068723541,0.1952380869325284,0.17760700463401974,4,926,0.004319654427645789
Claude_Code,0.1952380869325284,0.23592472132627226,0.21461941024015344,5,922,0.005422993492407809
Claude_Code,0.23592472132627226,0.28509024549146866,0.2593450148362472,1,917,0.0010905125408942203
Claude_Code,0.28509024549146866,0.34450161736965473,0.313391210259833,4,916,0.004366812227074236
Claude_Code,0.34450161736965473,0.4162940200416627,0.37870036071499624,6,912,0.006578947368421052
Claude_Code,0.4162940200416627,0.5030475979928256,0.45761960932715245,7,906,0.00772626931567329
Claude_Code,0.5030475979928256,0.6078801848295239,0.5529852320323996,6,899,0.006674082313681869
Claude_Code,0.6078801848295239,0.7345593549850249,0.6682245703927332,11,893,0.012318029115341545
